,city,created_at_format,total_debt_total
660,Москва,2022-01-13,9836.4
661,Самара,2022-01-13,1353.6
662,Москва,2022-01-14,9836.4
663,Самара,2022-01-14,2707.2
664,Москва,2022-01-15,11036.0
665,Самара,2022-01-15,2707.2
666,Москва,2022-01-16,9596.0
667,Самара,2022-01-16,1353.6
668,Москва,2022-01-17,5506.4
669,Самара,2022-01-17,1204.14
670,Москва,2022-01-18,5506.4
671,Тольятти,2022-01-18,1310.4
672,Москва,2022-01-19,15360.15
673,Тольятти,2022-01-19,1310.4
674,Москва,2022-01-20,11299.6
675,Самара,2022-01-20,2707.2
676,Тольятти,2022-01-20,1310.4
677,Москва,2022-01-21,12509.2
678,Самара,2022-01-21,1353.6
679,Тольятти,2022-01-21,1310.4
680,Москва,2022-01-22,15346.0
681,Москва,2022-01-23,11530.0
682,Самара,2022-01-23,1353.6
683,Тольятти,2022-01-23,1310.4
684,Москва,2022-01-24,9859.6
685,Самара,2022-01-24,2707.2
686,Тольятти,2022-01-24,1310.4
687,Москва,2022-01-25,9859.6
688,Самара,2022-01-25,2707.2
689,Тольятти,2022-01-25,1310.4
690,Москва,2022-01-26,15586.4
691,Самара,2022-01-26,2707.2
692,Тольятти,2022-01-26,1310.4
693,Москва,2022-01-27,12749.6
694,Тольятти,2022-01-27,2620.8
695,Москва,2022-01-28,9239.6
696,Самара,2022-01-28,1353.6
697,Тольятти,2022-01-28,1310.4
698,Москва,2022-01-29,12749.6
699,Тольятти,2022-01-29,1310.4
700,Москва,2022-01-30,9869.6
701,Москва,2022-01-31,8545.6
702,Самара,2022-01-31,1353.6
703,Санкт-Петербург,2022-01-31,2606.4
704,Тольятти,2022-01-31,1310.4
705,Москва,2022-02-01,8650.0
706,Самара,2022-02-01,1011.44
707,Санкт-Петербург,2022-02-01,2606.4
708,Москва,2022-02-02,11441.02
709,Самара,2022-02-02,2707.2
710,Санкт-Петербург,2022-02-02,2606.4
711,Тольятти,2022-02-02,1310.4
712,Москва,2022-02-03,14420.0
713,Санкт-Петербург,2022-02-03,1399.13
714,Тольятти,2022-02-03,2620.8
715,Москва,2022-02-04,11530.0
716,Самара,2022-02-04,1353.6
717,Тольятти,2022-02-04,1310.4
718,Москва,2022-02-05,11530.0
719,Тольятти,2022-02-05,2620.8
720,Москва,2022-02-06,10090.0
721,Москва,2022-02-07,9620.0
